"ประทับเวลา","Name_TH","Name_Eng","Kind","RATE","Review","Mood","DATE_TIME","Weather","Temperature"
"2565/04/27 7:52:53 หลังเที่ยง GMT+7","บะหมี่","Noodle","9_Carbohydrates","6","อร่อยดีและมีปริมาณที่เยอะ ทำให้อิ่มได้ง่าย","8","2022-04-13 17:50","Rainy =ที่ฝนตก","33"
"2565/04/27 7:53:56 หลังเที่ยง GMT+7","ต้มยำปลา","Tomyumfish","5_Fish and Seafood","8","อร่อยมาก","8","2022-04-22 15:00","Sweltering =ร้อนระอุ","38"
"2565/04/27 7:54:53 หลังเที่ยง GMT+7","หมูกระทะ","grilled pork","4_Meat and Poultry","9","อร่อยมากๆ อิ่มมาก","8","2022-04-20 19:00","Cold =เย็น","30"
"2565/04/27 7:54:55 หลังเที่ยง GMT+7","ข้าวต้ม","Rice porridge ","9_Carbohydrates","4","อร่อยนะ แต่มันค่อนข้างจืดไปหน่อย ถ้าใส่พวกเครื่องต่างๆก็อร่อยได้อยู่","7","2022-04-18 14:25","Sunny =แดดจัด","37"
"2565/04/27 7:55:33 หลังเที่ยง GMT+7","ไข่ต้ม","boilegg","8_Other","5","ก็กินได้","5","2022-04-18 16:00","Sweltering =ร้อนระอุ","36"
"2565/04/27 7:56:41 หลังเที่ยง GMT+7","เนื้อสเต็ก","Steak","4_Meat and Poultry","7","มีความรู้สึกเหมือนกำลังกินอาหารคนชนสูงเหมือนในหนังเลย","9","2022-04-21 18:52","Sunny =แดดจัด","33"
"2565/04/27 7:57:16 หลังเที่ยง GMT+7","ส้มตำ","Papaya salad","2_Fruits","7","แซ่บหลาย","7","2022-04-14 17:00","Sweltering =ร้อนระอุ","36"
"2565/04/27 7:57:31 หลังเที่ยง GMT+7","หมึกผัดผงกะหรี่","Stir Fried Squid with Curry Powder","5_Fish and Seafood","7","อร่อยมาก แต่ปูผัดผงกะหรี่อร่อยกว่า","8","2022-03-29 08:00","Sunny =แดดจัด","36"
"2565/04/27 7:59:04 หลังเที่ยง GMT+7","สลัดผัก","Salad","1_Vegetables","7","อร่อย แต่อาจจะไม่เหมาะกับใครบางคนที่เกลียดผัก","5","2022-04-18 11:54","Sunny =แดดจัด","37"
"2565/04/27 7:59:56 หลังเที่ยง GMT+7","คอหมูย่าง","Grilled Pork Neck","4_Meat and Poultry","5","คอหมูย่างแห้งไปหน่อยไขมันน้อย น้ำจิ้มจืด","6","2022-04-26 08:00","Sunny =แดดจัด","35"
"2565/04/27 8:00:02 หลังเที่ยง GMT+7","ไส้กรอก","Hot dogs ","4_Meat and Poultry","8","อร่อยและกินง่าย","9","2022-04-20 07:23","Sunny =แดดจัด","39"
"2565/04/27 8:00:26 หลังเที่ยง GMT+7","ลาบเนื้อ","Spicy minced beef","4_Meat and Poultry","7","อร่อยมาก","7","2022-04-16 17:00","Dry =แห้ง","36"
"2565/04/27 8:01:07 หลังเที่ยง GMT+7","ส้มตำ","Papaya salad ","1_Vegetables","5","อร่อยดี แต่ไม่สุดเท่าไหร่","5","2022-04-22 16:45","Sunny =แดดจัด","37"
"2565/04/27 8:01:25 หลังเที่ยง GMT+7","ไก่ย่างส้มตำ","Grilled chicken with papaya salad","4_Meat and Poultry","10","ร่อยแซบ","6","2022-04-19 12:30","Sweltering =ร้อนระอุ","37"
"2565/04/27 8:02:31 หลังเที่ยง GMT+7","ข้าวผัด","Fired rice","9_Carbohydrates","8","กินง่ายทำง่ายและกินได้หลายคนด้วย","8","2022-04-23 12:04","Sunny =แดดจัด","38"
"2565/04/27 8:02:43 หลังเที่ยง GMT+7","ข้าวผัด","Fried rice","9_Carbohydrates","6","ก็ดี","8","2022-04-04 07:00","Clear =แจ่มใส","34"
"2565/04/27 8:03:24 หลังเที่ยง GMT+7","ข้าวต้มกุ้ง","Rice porridge with shrimp","9_Carbohydrates","7","กำลังดีไม่เละเกินไป","8","2022-04-21 07:25","Clear =แจ่มใส","31"
"2565/04/27 8:04:02 หลังเที่ยง GMT+7","ไก่ย่าง","Grilled chicken ","4_Meat and Poultry","4","ปกติไม่ค่อยชอบกินของทอดและไม่ค่อยชอบกินเท่าไหร่","4","2022-04-11 17:53","Rainy =ที่ฝนตก","34"
"2565/04/27 8:05:02 หลังเที่ยง GMT+7","ก๋วยเตี๋ยว","noodle","9_Carbohydrates","7","รสชาติอร่อย เครื่องเยอะ แต่ให้น้อย","7","2022-04-20 12:00","Sunny =แดดจัด","37"
"2565/04/27 8:05:28 หลังเที่ยง GMT+7","หมูหยอง","Fired shredded pork","4_Meat and Poultry","9","อร่อย แถมทำง่าย เพียงแค่ไปซื้อหมูที่ซูเปอร์มาร์เก็ตและนำไปทอดจนสุกและกิน","9","2022-04-25 19:02","Sunny =แดดจัด","33"
"2565/04/27 8:07:04 หลังเที่ยง GMT+7","เสี่ยวหลงเปา","Xiao long bao","9_Carbohydrates","10","อร่อย","10","2022-04-24 16:00","Sweltering =ร้อนระอุ","34"
"2565/04/27 8:08:13 หลังเที่ยง GMT+7","ก๋วยเตี๋ยวเรือ","boat noodle","9_Carbohydrates","5","เผ็ด","5","2022-04-03 13:07","Sunny =แดดจัด","35"
"2565/04/27 8:10:03 หลังเที่ยง GMT+7","ข้าวผัดกระเพราหมู","Rice topped with stir-fried pork and basil","4_Meat and Poultry","8","อร่อยมาก ชอบแตงกวาสุด","8","2022-04-15 08:00","Sunny =แดดจัด","34"
